TEHBInnTier1FamilyMOOP,State
$0 ,AZ
"$7,000 ",AZ
"$3,000 ",AZ
"$3,000 ",AZ
$0 ,AZ
"$3,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,600 ",AZ
"$12,600 ",AZ
$0 ,AZ
"$12,600 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,600 ",AZ
"$12,600 ",AZ
$0 ,AZ
"$12,600 ",AZ
,AZ
,AZ
,AZ
"$4,000 ",AZ
$0 ,AZ
"$3,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,000 ",AZ
"$10,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,000 ",AZ
"$10,000 ",AZ
"$12,700 ",AZ
"$8,000 ",AZ
"$8,000 ",AZ
"$3,500 ",AZ
"$8,000 ",AZ
"$8,000 ",AZ
$0 ,AZ
"$8,000 ",AZ
"$8,000 ",AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
"$3,000 ",AZ
"$4,000 ",AZ
"$4,000 ",AZ
"$3,000 ",AZ
$0 ,AZ
"$3,000 ",AZ
"$3,000 ",AZ
"$3,000 ",AZ
"$2,500 ",AZ
"$2,000 ",AZ
"$2,000 ",AZ
"$2,500 ",AZ
"$3,500 ",AZ
"$8,000 ",AZ
"$7,000 ",AZ
"$7,000 ",AZ
$0 ,AZ
"$10,000 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$9,000 ",AZ
"$9,000 ",AZ
"$9,000 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$6,000 ",AZ
"$2,000 ",AZ
"$6,000 ",AZ
"$12,700 ",AZ
"$8,000 ",AZ
"$12,700 ",AZ
"$8,000 ",AZ
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
"$8,000 ",AZ
"$12,700 ",AZ
"$10,000 ",AZ
"$12,700 ",AZ
"$10,000 ",AZ
"$10,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$3,000 ",AZ
"$12,700 ",AZ
,AZ
$0 ,AZ
"$9,000 ",AZ
$0 ,AZ
"$6,000 ",AZ
"$7,000 ",AZ
"$7,000 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
$0 ,AZ
"$8,000 ",AZ
"$2,000 ",AZ
"$2,000 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$7,000 ",AZ
"$7,000 ",AZ
"$12,000 ",AZ
"$3,000 ",AZ
"$12,000 ",AZ
"$3,000 ",AZ
"$12,000 ",AZ
$0 ,AZ
"$12,000 ",AZ
"$3,000 ",AZ
"$12,000 ",AZ
"$2,500 ",AZ
"$12,000 ",AZ
"$2,500 ",AZ
"$11,000 ",AZ
$0 ,AZ
$0 ,AZ
"$7,000 ",AZ
"$12,700 ",AZ
"$12,000 ",AZ
"$12,700 ",AZ
"$12,000 ",AZ
"$12,000 ",AZ
$0 ,AZ
"$12,000 ",AZ
"$12,700 ",AZ
"$12,000 ",AZ
"$10,400 ",AZ
"$12,000 ",AZ
"$4,500 ",AZ
"$11,000 ",AZ
"$2,000 ",AZ
"$11,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$6,000 ",AZ
"$6,000 ",AZ
,AZ
,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$3,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$9,000 ",AZ
"$9,000 ",AZ
"$9,000 ",AZ
,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$9,000 ",AZ
"$6,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$4,500 ",AZ
"$9,000 ",AZ
$0 ,AZ
"$10,400 ",AZ
"$3,500 ",AZ
"$7,000 ",AZ
"$5,500 ",AZ
"$2,200 ",AZ
"$1,000 ",AZ
"$4,500 ",AZ
"$3,000 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$9,000 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$9,000 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$12,700 ",AZ
"$9,000 ",AZ
$0 ,AZ
"$9,000 ",AZ
"$9,000 ",AZ
"$4,500 ",AZ
"$3,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$9,000 ",AZ
$0 ,AZ
"$9,000 ",AZ
"$9,000 ",AZ
"$9,000 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$6,000 ",AZ
"$6,000 ",AZ
$0 ,AZ
"$2,500 ",AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$8,000 ",AZ
"$3,000 ",AZ
"$2,000 ",AZ
"$7,000 ",AZ
$0 ,AZ
"$12,700 ",AZ
,AZ
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
Not Applicable,AZ
Not Applicable,AZ
,AZ
"$12,700 ",AZ
"$4,500 ",AZ
"$11,000 ",AZ
"$11,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
,AZ
,AZ
,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$11,000 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$7,000 ",AZ
$0 ,AZ
"$11,000 ",AZ
"$11,000 ",AZ
$0 ,AZ
"$11,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$6,000 ",AZ
"$6,000 ",AZ
$0 ,AZ
"$6,000 ",AZ
"$9,000 ",AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$2,800 ",AZ
"$1,150 ",AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$11,000 ",AZ
"$11,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
$0 ,AZ
Not Applicable,AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
Not Applicable,AZ
,AZ
,AZ
,AZ
$0 ,AZ
"$1,240 ",AZ
"$5,000 ",AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
"$11,000 ",AZ
"$11,000 ",AZ
"$11,000 ",AZ
"$11,000 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$11,000 ",AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
Not Applicable,AZ
